route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
014077704:704,557,704,704,,3,,f39200,000000
014077705:705,557,705,705,,3,,00b1eb,000000
014077703:703,557,703,703,,3,,951b81,ffffff
014077701:701,557,701,701,,3,,c51a1b,ffffff
014077702:702,557,702,702,,3,,aa856b,000000
014077707:707,557,707,707,,3,,76b82a,000000
014077711:711,557,711,711,,3,,009ba4,ffffff
014077710:710,557,710,710,,3,,ffdd00,000000
014077708:708,557,708,708,,3,,ffdd00,000000
014077709:709,557,709,709,,3,,f7a600,000000
